shipment_id,ship_date,origin,destination,distance_km,vehicle_type,transport_mode,carrier,vendor_rating,weather,season,is_weekend,is_peak_season,weight_kg,cargo_type,is_fragile,delay_days,risk_score,month
SHP00001,2024-07-12,Mumbai,Pune,506,Truck,Road,Delhivery,3,Rain,Summer,0,0,43.9,Apparel,0,4.21,48,2024-07
SHP00002,2024-04-04,Pune,Mumbai,1002,Ship,Sea,Ecom Express,5,Clear,Spring,0,0,294.8,Electronics,1,3.78,36,2024-04
SHP00003,2023-04-05,Hyderabad,Delhi,703,Train,Rail,Delhivery,3,Storm,Spring,0,0,190.3,Furniture,0,5.43,63,2023-04
SHP00004,2024-10-05,Kolkata,Ahmedabad,227,Train,Rail,DTDC,5,Clear,Monsoon,1,1,309.5,Furniture,0,2.08,15,2024-10
SHP00005,2023-08-27,Mumbai,Ahmedabad,2414,Van,Road,Delhivery,1,Clear,Summer,1,0,433.3,Apparel,0,6.14,70,2023-08
SHP00006,2024-10-12,Mumbai,Hyderabad,1544,Van,Road,Delhivery,3,Storm,Monsoon,1,1,86.0,Medical,1,7.86,89,2024-10
SHP00007,2023-02-27,Hyderabad,Ahmedabad,1052,Van,Road,FedEx,4,Fog,Winter,0,1,114.9,Electronics,1,5.1,58,2023-02
SHP00008,2024-04-14,Pune,Hyderabad,321,Van,Road,Delhivery,5,Storm,Spring,1,0,71.9,Perishable,1,4.33,51,2024-04
SHP00009,2023-08-13,Pune,Bangalore,1060,Ship,Sea,Ecom Express,5,Storm,Summer,1,0,498.7,Perishable,1,6.29,66,2023-08
SHP00010,2024-09-02,Pune,Chennai,242,Truck,Road,DTDC,2,Rain,Monsoon,0,1,498.1,Industrial,0,4.79,58,2024-09
SHP00011,2023-10-28,Hyderabad,Delhi,1079,Ship,Sea,Ecom Express,1,Clear,Monsoon,1,1,217.7,Apparel,0,6.17,70,2023-10
SHP00012,2023-06-15,Bangalore,Chennai,1128,Ship,Sea,FedEx,2,Clear,Summer,0,0,269.9,Industrial,0,4.28,50,2023-06
SHP00013,2023-11-11,Hyderabad,Ahmedabad,52,Ship,Sea,Blue Dart,3,Fog,Monsoon,1,1,120.1,Perishable,1,5.57,68,2023-11
SHP00014,2024-06-24,Bangalore,Chennai,400,Train,Rail,Delhivery,1,Rain,Summer,0,0,436.3,Apparel,0,3.75,57,2024-06
SHP00015,2024-04-07,Ahmedabad,Kolkata,917,Ship,Sea,DTDC,2,Storm,Spring,1,0,60.9,Perishable,1,7.13,90,2024-04
SHP00016,2023-03-11,Delhi,Bangalore,2318,Van,Road,Blue Dart,5,Rain,Spring,1,0,452.8,Furniture,0,5.74,48,2023-03
SHP00017,2024-08-07,Bangalore,Pune,340,Ship,Sea,DTDC,2,Storm,Summer,0,0,288.3,Perishable,1,6.3,84,2024-08
SHP00018,2023-02-25,Pune,Chennai,829,Truck,Road,FedEx,1,Fog,Winter,1,1,336.8,Medical,1,5.73,81,2023-02
SHP00019,2024-07-03,Chennai,Mumbai,453,Truck,Road,Blue Dart,4,Storm,Summer,0,0,224.6,Apparel,0,4.79,52,2024-07
SHP00020,2023-08-31,Mumbai,Ahmedabad,358,Train,Rail,Blue Dart,5,Clear,Summer,0,0,83.6,Apparel,0,2.02,15,2023-08
SHP00021,2023-09-29,Delhi,Kolkata,2021,Van,Road,Delhivery,4,Clear,Monsoon,0,1,463.3,Apparel,0,5.15,44,2023-09
SHP00022,2024-07-09,Delhi,Hyderabad,2326,Train,Rail,FedEx,2,Rain,Summer,0,0,30.9,Furniture,0,6.89,74,2024-07
SHP00023,2023-03-24,Delhi,Hyderabad,284,Truck,Road,Ecom Express,5,Fog,Spring,0,0,425.7,Electronics,1,3.22,38,2023-03
SHP00024,2024-11-04,Mumbai,Kolkata,1013,Train,Rail,Ecom Express,1,Rain,Monsoon,0,1,292.0,Industrial,0,5.41,69,2024-11
SHP00025,2024-11-18,Pune,Mumbai,1345,Bike,Road,Delhivery,2,Storm,Monsoon,0,1,322.9,Apparel,0,6.39,76,2024-11
SHP00026,2023-12-24,Kolkata,Mumbai,347,Truck,Road,Blue Dart,4,Clear,Winter,1,1,440.5,Perishable,1,3.87,43,2023-12
SHP00027,2024-07-21,Delhi,Pune,1563,Bike,Road,Ecom Express,2,Fog,Summer,1,0,150.0,Medical,1,6.83,83,2024-07
SHP00028,2023-12-18,Chennai,Pune,1133,Truck,Road,FedEx,1,Rain,Winter,0,1,102.2,Medical,1,6.51,85,2023-12
SHP00029,2023-10-11,Pune,Ahmedabad,1131,Ship,Sea,Blue Dart,4,Storm,Monsoon,0,1,22.5,Furniture,0,6.54,66,2023-10
SHP00030,2023-06-02,Mumbai,Delhi,1122,Van,Road,Ecom Express,4,Fog,Summer,0,0,273.0,Furniture,0,4.19,43,2023-06
SHP00031,2023-02-10,Kolkata,Bangalore,2435,Ship,Sea,Delhivery,2,Fog,Winter,0,1,449.5,Perishable,1,8.38,95,2023-02
SHP00032,2023-01-26,Bangalore,Kolkata,1498,Ship,Sea,Delhivery,4,Rain,Winter,0,1,90.1,Furniture,0,5.36,51,2023-01
SHP00033,2024-04-26,Delhi,Ahmedabad,1736,Van,Road,Blue Dart,3,Rain,Spring,0,0,111.6,Apparel,0,5.1,55,2024-04
SHP00034,2023-03-13,Kolkata,Ahmedabad,982,Van,Road,DTDC,1,Rain,Spring,0,0,483.5,Furniture,0,5.79,72,2023-03
SHP00035,2024-08-17,Kolkata,Mumbai,1488,Ship,Sea,Blue Dart,4,Storm,Summer,1,0,481.3,Furniture,0,7.2,71,2024-08
SHP00036,2024-03-22,Kolkata,Delhi,1465,Bike,Road,DTDC,4,Clear,Spring,0,0,1.3,Industrial,0,3.88,35,2024-03
SHP00037,2023-11-04,Mumbai,Pune,857,Bike,Road,FedEx,4,Clear,Monsoon,1,1,253.8,Medical,1,2.92,35,2023-11
SHP00038,2024-08-05,Bangalore,Hyderabad,1261,Ship,Sea,DTDC,2,Rain,Summer,0,0,150.8,Industrial,0,6.42,71,2024-08
SHP00039,2024-03-28,Ahmedabad,Chennai,51,Bike,Road,DTDC,3,Rain,Spring,0,0,338.0,Industrial,0,2.11,32,2024-03
SHP00040,2023-07-23,Kolkata,Mumbai,745,Truck,Road,Blue Dart,3,Storm,Summer,1,0,74.1,Electronics,1,6.02,76,2023-07
SHP00041,2024-01-29,Chennai,Pune,1052,Train,Rail,DTDC,5,Clear,Winter,0,1,247.4,Perishable,1,4.32,40,2024-01
SHP00042,2023-09-13,Delhi,Hyderabad,486,Train,Rail,Ecom Express,2,Rain,Monsoon,0,1,458.8,Electronics,1,5.58,72,2023-09
SHP00043,2024-05-01,Ahmedabad,Mumbai,1919,Van,Road,DTDC,4,Storm,Spring,0,0,225.3,Perishable,1,7.51,81,2024-05
SHP00044,2023-10-06,Kolkata,Mumbai,2185,Train,Rail,DTDC,2,Storm,Monsoon,0,1,168.3,Industrial,0,8.1,89,2023-10
SHP00045,2024-02-29,Chennai,Delhi,380,Van,Road,DTDC,2,Rain,Winter,0,1,204.1,Industrial,0,4.46,56,2024-02
SHP00046,2023-12-27,Ahmedabad,Delhi,1770,Train,Rail,Ecom Express,5,Clear,Winter,0,1,149.7,Apparel,0,4.61,34,2023-12
SHP00047,2024-05-12,Kolkata,Chennai,1766,Ship,Sea,DTDC,5,Rain,Spring,1,0,15.0,Furniture,0,5.48,46,2024-05
SHP00048,2024-03-14,Mumbai,Pune,726,Train,Rail,DTDC,2,Clear,Spring,0,0,68.3,Apparel,0,2.96,40,2024-03
SHP00049,2023-12-12,Ahmedabad,Bangalore,794,Truck,Road,FedEx,3,Fog,Winter,0,1,380.7,Apparel,0,4.77,54,2023-12
SHP00050,2024-10-27,Hyderabad,Mumbai,1776,Bike,Road,Blue Dart,1,Fog,Monsoon,1,1,34.8,Medical,1,8.2,100,2024-10
